bin.function,cov-day3-b1,cov-day3-b2,cov-day3-b5,cov-day6-b7,cov-day6-b8,cov-day6-b9,cov-day9-b11,cov-day9-b12,cov-day9-b14,cov-day12-b16,cov-day12-b17,cov-day12-b19,cov-day19-b28,cov-day19-b32,cov-day19-b33,unnorm-day3-b1,unnorm-day3-b2,unnorm-day3-b5,unnorm-day6-b7,unnorm-day6-b8,unnorm-day6-b9,unnorm-day9-b11,unnorm-day9-b12,unnorm-day9-b14,unnorm-day12-b16,unnorm-day12-b17,unnorm-day12-b19,unnorm-day19-b28,unnorm-day19-b32,unnorm-day19-b33,unnorm-LG1,unnorm-LG2,unnorm-LG3,functional-category,protein.annotation,Accession,Taxa
172-Prok_bin48--,211.3578568,27.40767187,114.4310565,188.3228331,173.5317044,174.4588702,129.8357793,222.0809865,191.3827485,69.224623,285.2716715,237.78673,250.922215,288.7226066,357.405948,1.3159,1.989,1.477187634,2.8642,1.1011,1.504421353,1.5445,0.75,0.846000195,2.1079,1.1921,0.77789557,1.786,1.202,1.207813025,5.0341,1.3559,1.494781971,-,kegg:UPF0296_protein_uniprot:K9VGP8_9CYAN_UPF0296_protein_Osc7112_2697_(TrEMBL)_pfam:DUF370,Prok_bin48_NODE_114_length_95972_cov_257.873_18,Prok_bin48
173-Prok_bin48--,211.3578568,27.40767187,114.4310565,188.3228331,173.5317044,174.4588702,129.8357793,222.0809865,191.3827485,69.224623,285.2716715,237.78673,250.922215,288.7226066,357.405948,0.7541,1.3651,1.115360975,1.7217,0.7138,1.121555805,0.7182,0.9112,0.551870823,1.3456,1.8161,1.013129592,1.2968,0.9425,0.822351038,1.4423,2.6792,1.826850772,-,kegg:oligopeptidase_A_uniprot:F5UFA6_9CYAN_Oligopeptidase_A_(TrEMBL)_pfam:Peptidase_M3,Prok_bin48_NODE_114_length_95972_cov_257.873_19,Prok_bin48
174-Prok_bin48-photosystem,211.3578568,27.40767187,114.4310565,188.3228331,173.5317044,174.4588702,129.8357793,222.0809865,191.3827485,69.224623,285.2716715,237.78673,250.922215,288.7226066,357.405948,0.789,1.0225,0.923351943,1.6249,0.9215,1.146447182,0.9079,0.7215,0.785382748,1.4113,1.12,0.787571073,1.1006,0.8674,1.401346564,1.851,1.2838,1.708941221,photosystem,kegg:Photosystem_II_reaction_center_Psb28_protein_uniprot:F5UFN8_9CYAN_Photosystem_II_reaction_center_Psb28_protein_(TrEMBL)_pfam:Psb28,Prok_bin48_NODE_114_length_95972_cov_257.873_41,Prok_bin48
175-Prok_bin48--,211.3578568,27.40767187,114.4310565,188.3228331,173.5317044,174.4588702,129.8357793,222.0809865,191.3827485,69.224623,285.2716715,237.78673,250.922215,288.7226066,357.405948,1.0254,1.5747,1.035213351,2.3513,1.0571,1.252112269,0.6699,0.6438,1.085541964,2.2564,1.0528,0.635238826,0.9319,0.9221,0.991096556,2.1795,0.9346,1.508945823,-,kegg:parallel_beta-helix_repeat_protein_uniprot:K9VET3_9CYAN_Parallel_beta-helix_repeat_protein_(TrEMBL)_pfam:Beta_helix,Prok_bin48_NODE_114_length_95972_cov_257.873_42,Prok_bin48
176-Prok_bin48--,211.3578568,27.40767187,114.4310565,188.3228331,173.5317044,174.4588702,129.8357793,222.0809865,191.3827485,69.224623,285.2716715,237.78673,250.922215,288.7226066,357.405948,0.7457,1.2085,0.894998074,1.8004,1.1809,1.013596296,1.1586,0.7678,0.756399512,1.2438,0.9825,0.673313975,1.5071,0.9185,1.051236749,1.4817,0.8969,1.044812202,-,kegg:NADH_dehydrogenase_subunit_J_uniprot:A0A2G4F514_9CYAN_NADH:ubiquinone_oxidoreductase_subunit_J_(TrEMBL)_pfam:Oxidored_q3,Prok_bin48_NODE_114_length_95972_cov_257.873_57,Prok_bin48
177-Prok_bin48--,211.3578568,27.40767187,114.4310565,188.3228331,173.5317044,174.4588702,129.8357793,222.0809865,191.3827485,69.224623,285.2716715,237.78673,250.922215,288.7226066,357.405948,0.7627,1.513,1.043160319,1.4381,1.0525,1.134798646,1.1046,0.8045,0.751893342,1.506,1.0929,0.645443678,1.0571,1.0717,1.216901422,1.2434,1.0815,1.505219817,-,kegg:NAD(P)H-quinone_oxidoreductase_subunit_I_uniprot:A0A2G4F4T4_9CYAN_NAD(P)H-quinone_oxidoreductase_subunit_I_(TrEMBL)_pfam:Fer4,Prok_bin48_NODE_114_length_95972_cov_257.873_58,Prok_bin48
178-Prok_bin48--,211.3578568,27.40767187,114.4310565,188.3228331,173.5317044,174.4588702,129.8357793,222.0809865,191.3827485,69.224623,285.2716715,237.78673,250.922215,288.7226066,357.405948,0.6372,0.7192,0.596037328,1.6418,0.9378,0.829005599,1.1678,0.6652,0.779181957,1.4952,1.0622,0.671871245,1.2758,0.8966,1.258747458,1.4183,1.0205,1.326031566,-,kegg:NADH_dehydrogenase_subunit_H_uniprot:A0A2G4F4Z5_9CYAN_NAD(P)H-quinone_oxidoreductase_subunit_1_(TrEMBL)_pfam:NADHdh,Prok_bin48_NODE_114_length_95972_cov_257.873_59,Prok_bin48
179-Prok_bin48--,211.3578568,27.40767187,114.4310565,188.3228331,173.5317044,174.4588702,129.8357793,222.0809865,191.3827485,69.224623,285.2716715,237.78673,250.922215,288.7226066,357.405948,0.8016,1.0332,0.932327926,1.7188,0.79,1.206630945,1.1718,0.7801,0.786399543,1.4745,0.908,1.08122766,1.1962,0.9592,1.016436934,1.5548,0.6536,1.523061275,-,kegg:two_component_transcriptional_regulator_LuxR_family_uniprot:F5UFR6_9CYAN_Two_component_transcriptional_regulator_LuxR_family_(TrEMBL)_pfam:GerE,Prok_bin48_NODE_114_length_95972_cov_257.873_71,Prok_bin48
180-Prok_bin48--,211.3578568,27.40767187,114.4310565,188.3228331,173.5317044,174.4588702,129.8357793,222.0809865,191.3827485,69.224623,285.2716715,237.78673,250.922215,288.7226066,357.405948,1.246,1.0924,1.324773192,1.5491,0.736,1.353493452,1.0918,0.7619,0.770234108,1.5178,0.9027,1.275374889,1.1807,0.8074,1.155111432,2.6398,1.3946,1.951451778,-,kegg:cyanophycinase_uniprot:K9VEX5_9CYAN_Cyanophycinase_(TrEMBL)_pfam:Peptidase_S51,Prok_bin48_NODE_114_length_95972_cov_257.873_82,Prok_bin48
181-Prok_bin48--,211.3578568,27.40767187,114.4310565,188.3228331,173.5317044,174.4588702,129.8357793,222.0809865,191.3827485,69.224623,285.2716715,237.78673,250.922215,288.7226066,357.405948,1.051,1.4818,1.012028337,1.5909,1.0886,1.239062071,1.0745,0.7262,0.91961813,1.5209,1.1671,0.8749488,1.2136,0.9624,0.986800253,1.6541,0.9295,1.325617433,-,kegg:surface_antigen_(D15)_uniprot:F5UDA7_9CYAN_Surface_antigen_(D15)_(TrEMBL)_pfam:Bac_surface_Ag,Prok_bin48_NODE_116_length_95882_cov_261.392_30,Prok_bin48
182-Prok_bin48--,211.3578568,27.40767187,114.4310565,188.3228331,173.5317044,174.4588702,129.8357793,222.0809865,191.3827485,69.224623,285.2716715,237.78673,250.922215,288.7226066,357.405948,0.95,1.3074,1.019279122,1.5923,1.0421,1.129797697,1.0799,0.6028,0.75188905,1.6122,1.1224,0.756526351,1.2785,0.9039,0.964614093,1.5724,1.4616,1.539005041,-,kegg:isocitrate_dehydrogenase_(NADP)_uniprot:F5UDB6_9CYAN_Isocitrate_dehydrogenase_[NADP]_(TrEMBL)_pfam:Iso_dh,Prok_bin48_NODE_116_length_95882_cov_261.392_54,Prok_bin48
183-Prok_bin48--,211.3578568,27.40767187,114.4310565,188.3228331,173.5317044,174.4588702,129.8357793,222.0809865,191.3827485,69.224623,285.2716715,237.78673,250.922215,288.7226066,357.405948,0.8622,0.8452,1.100583911,1.788,0.862,1.421390891,0.8937,0.8336,0.797318399,0.8622,1.0416,0.717077851,1.78,0.8465,1.660387158,0.8308,0.7973,0.965166509,-,kegg:adenosylhomocysteinase_uniprot:A0A2G4F382_9CYAN_Adenosylhomocysteinase_(TrEMBL)_pfam:2-Hacid_dh_C,Prok_bin48_NODE_116_length_95882_cov_261.392_57,Prok_bin48
184-Prok_bin48--,211.3578568,27.40767187,114.4310565,188.3228331,173.5317044,174.4588702,129.8357793,222.0809865,191.3827485,69.224623,285.2716715,237.78673,250.922215,288.7226066,357.405948,0.8224,1.2299,1.143671632,1.8295,1.2674,0.946890116,0.867,0.7551,0.45533061,1.6304,1.0736,0.554575324,1.5056,1.0072,0.929598987,2.2458,1.472,1.454426765,-,kegg:ATP-dependent_Clp_protease_proteolytic_subunit_ClpP_uniprot:F5UPF3_9CYAN_ATP-dependent_Clp_protease_proteolytic_subunit_(TrEMBL)_pfam:CLP_protease,Prok_bin48_NODE_116_length_95882_cov_261.392_7,Prok_bin48
185-Prok_bin48--,211.3578568,27.40767187,114.4310565,188.3228331,173.5317044,174.4588702,129.8357793,222.0809865,191.3827485,69.224623,285.2716715,237.78673,250.922215,288.7226066,357.405948,0.8557,1.2606,1.362871051,1.5961,1.1594,0.966106772,0.8864,0.8157,0.62434274,1.4855,1.0419,0.695650637,1.1507,0.8559,0.883221567,1.8791,1.4556,1.243728876,-,kegg:RNAse_R_uniprot:F5UPF1_9CYAN_VacB_and_RNase_II_family_3'-5'_exoribonuclease_(TrEMBL)_pfam:DUF4423,Prok_bin48_NODE_116_length_95882_cov_261.392_9,Prok_bin48
186-Prok_bin48-ribosomal-protein,211.3578568,27.40767187,114.4310565,188.3228331,173.5317044,174.4588702,129.8357793,222.0809865,191.3827485,69.224623,285.2716715,237.78673,250.922215,288.7226066,357.405948,0.7371,1.1215,0.979975343,1.5084,1.0194,1.083815575,0.9801,0.766,0.794749618,1.0774,1.1865,0.88469243,0.9935,1.1263,1.321133018,1.0702,0.8227,1.138889194,ribosomal-protein,kegg:SSU_ribosomal_protein_S30P_uniprot:F5UKB0_9CYAN_Ribosome_hibernation_promoting_factor_(TrEMBL)_pfam:Ribosomal_S30AE,Prok_bin48_NODE_122_length_93784_cov_249.53_28,Prok_bin48
187-Prok_bin48--,211.3578568,27.40767187,114.4310565,188.3228331,173.5317044,174.4588702,129.8357793,222.0809865,191.3827485,69.224623,285.2716715,237.78673,250.922215,288.7226066,357.405948,0.9338,1.1413,1.002221227,2.0003,1.0934,1.118611813,1.1357,0.7075,0.770106554,1.2579,1.046,0.759471416,1.4718,0.825,1.273656726,2.0255,1.2161,1.878286958,-,kegg:phenylalanyl-tRNA_synthetase_beta_subunit_uniprot:K9VK71_9CYAN_Phenylalanine--tRNA_ligase_beta_subunit_(TrEMBL)_pfam:B3_4,Prok_bin48_NODE_122_length_93784_cov_249.53_36,Prok_bin48
188-Prok_bin48--,211.3578568,27.40767187,114.4310565,188.3228331,173.5317044,174.4588702,129.8357793,222.0809865,191.3827485,69.224623,285.2716715,237.78673,250.922215,288.7226066,357.405948,0.8232,1.129,0.880928874,1.826,1.082,1.10146606,1,0.6786,0.78089112,1.3762,1.1395,0.77653861,1.316,0.6873,0.999812901,1.463,1.1285,1.671456575,-,kegg:sulfate_adenylyltransferase_uniprot:K9VL29_9CYAN_Sulfate_adenylyltransferase_(TrEMBL)_pfam:ATP-sulfurylase,Prok_bin48_NODE_122_length_93784_cov_249.53_51,Prok_bin48
189-Prok_bin48--,211.3578568,27.40767187,114.4310565,188.3228331,173.5317044,174.4588702,129.8357793,222.0809865,191.3827485,69.224623,285.2716715,237.78673,250.922215,288.7226066,357.405948,1.0858,0.8183,0.869211674,1.7202,1.0394,1.024563313,1.5306,1.2278,0.764499962,1.5478,1.2714,0.832297742,1.5738,1.0014,0.876967788,1.5854,0.6773,0.779910386,-,kegg:Glutathione_S-transferase_domain_protein_uniprot:K9VK98_9CYAN_Glutathione_S-transferase_domain_protein_(TrEMBL)_pfam:Glutaredoxin,Prok_bin48_NODE_122_length_93784_cov_249.53_64,Prok_bin48
190-Prok_bin48--,211.3578568,27.40767187,114.4310565,188.3228331,173.5317044,174.4588702,129.8357793,222.0809865,191.3827485,69.224623,285.2716715,237.78673,250.922215,288.7226066,357.405948,0.7442,1.4545,1.021561503,1.6937,1.0088,1.10520339,0.9545,0.5552,0.63424778,1.4015,0.9193,0.551881254,1.2481,0.8887,1.251192212,1.5745,0.9426,1.392081976,-,kegg:hypothetical_protein_uniprot:F5ULP3_9CYAN_Uncharacterized_protein_(TrEMBL)_pfam:ChW,Prok_bin48_NODE_122_length_93784_cov_249.53_71,Prok_bin48
191-Prok_bin48--,211.3578568,27.40767187,114.4310565,188.3228331,173.5317044,174.4588702,129.8357793,222.0809865,191.3827485,69.224623,285.2716715,237.78673,250.922215,288.7226066,357.405948,0.8963,1.2078,1.122395277,1.7245,0.9915,1.117648959,0.9332,0.7887,0.846019685,1.5175,1.1368,0.751901984,1.2719,0.9265,1.083998442,1.9272,1.1261,1.718616843,-,kegg:cell_division_protein_FtsZ_uniprot:K9VQK8_9CYAN_Cell_division_protein_FtsZ_(TrEMBL)_pfam:FtsZ_C,Prok_bin48_NODE_126_length_92663_cov_264.742_21,Prok_bin48
192-Prok_bin48--,211.3578568,27.40767187,114.4310565,188.3228331,173.5317044,174.4588702,129.8357793,222.0809865,191.3827485,69.224623,285.2716715,237.78673,250.922215,288.7226066,357.405948,0.9578,2.2386,1.12338376,1.8686,1.5934,1.140560985,0.9186,0.5443,0.881026804,1.5482,0.8225,0.512794197,1.25,0.8004,0.81986624,3.2405,0.3594,1.073126912,-,kegg:hypothetical_protein_uniprot:F5UGI9_9CYAN_Uncharacterized_protein_(TrEMBL)_pfam:-,Prok_bin48_NODE_126_length_92663_cov_264.742_52,Prok_bin48
193-Prok_bin48--,211.3578568,27.40767187,114.4310565,188.3228331,173.5317044,174.4588702,129.8357793,222.0809865,191.3827485,69.224623,285.2716715,237.78673,250.922215,288.7226066,357.405948,0.9468,1.0159,0.959501028,1.9971,0.8693,1.194180727,0.812,0.7918,0.677307785,1.4013,0.6372,0.885534883,1.1873,1.0009,1.53984797,1.7848,1.2646,2.56479001,-,kegg:RNP-1_like_RNA-binding_protein_uniprot:K9VP53_9CYAN_RNP-1_like_RNA-binding_protein_(TrEMBL)_pfam:RRM_1,Prok_bin48_NODE_126_length_92663_cov_264.742_57,Prok_bin48
194-Prok_bin48--,211.3578568,27.40767187,114.4310565,188.3228331,173.5317044,174.4588702,129.8357793,222.0809865,191.3827485,69.224623,285.2716715,237.78673,250.922215,288.7226066,357.405948,0.8538,1.9348,1.019642472,1.6111,1.0816,1.188471913,0.9725,0.6377,0.789446533,1.3493,1.0534,0.772487044,1.0589,0.6659,0.946721435,1.6514,1.0594,1.648684621,-,kegg:protoporphyrin_IX_magnesium-chelatase_uniprot:F5UGE3_9CYAN_Mg-protoporphyrin_IX_chelatase_(TrEMBL)_pfam:AAA,Prok_bin48_NODE_126_length_92663_cov_264.742_6,Prok_bin48
195-Prok_bin48--,211.3578568,27.40767187,114.4310565,188.3228331,173.5317044,174.4588702,129.8357793,222.0809865,191.3827485,69.224623,285.2716715,237.78673,250.922215,288.7226066,357.405948,1.1015,1.0608,1.00618577,1.6835,1.0485,1.26192081,1.295,0.758,0.850103915,1.8148,1.1154,1.012714744,1.3029,0.9046,1.181775808,1.6451,0.8864,1.381426215,-,kegg:hypothetical_protein_uniprot:F5UGF2_9CYAN_Uncharacterized_protein_(TrEMBL)_pfam:Cyd_oper_YbgE,Prok_bin48_NODE_126_length_92663_cov_264.742_8,Prok_bin48
196-Prok_bin48--,211.3578568,27.40767187,114.4310565,188.3228331,173.5317044,174.4588702,129.8357793,222.0809865,191.3827485,69.224623,285.2716715,237.78673,250.922215,288.7226066,357.405948,0.8505,0.8682,0.937097311,1.6188,0.9032,1.106901288,1.0303,0.5605,0.824428797,1.503,1.1783,0.727431059,1.2019,0.7669,1.103230119,1.4011,1.1122,1.39391911,-,kegg:DNA_gyrase_subunit_B_uniprot:F5UL25_9CYAN_DNA_gyrase_subunit_B_(TrEMBL)_pfam:DNA_gyraseB,Prok_bin48_NODE_132_length_91376_cov_264.575_2,Prok_bin48
197-Prok_bin48--,211.3578568,27.40767187,114.4310565,188.3228331,173.5317044,174.4588702,129.8357793,222.0809865,191.3827485,69.224623,285.2716715,237.78673,250.922215,288.7226066,357.405948,0.7179,0.6144,0.729851067,1.7782,0.8111,0.92599839,1.0647,0.6888,0.886229634,1.0172,1.0533,0.67727524,1.2198,0.9292,1.333244205,0.6914,0.3433,0.485587478,-,kegg:outer_membrane_autotransporter_TapA_uniprot:K9VC47_9CYAN_Outer_membrane_autotransporter_TapA_(TrEMBL)_pfam:Trypan_PARP,Prok_bin48_NODE_132_length_91376_cov_264.575_28,Prok_bin48
198-Prok_bin48--,211.3578568,27.40767187,114.4310565,188.3228331,173.5317044,174.4588702,129.8357793,222.0809865,191.3827485,69.224623,285.2716715,237.78673,250.922215,288.7226066,357.405948,0.8776,1.2032,1.456586719,2.2327,1.2547,1.174892664,1.0927,0.7553,0.781992018,1.4212,0.9634,0.933511198,1.3473,0.7775,1.085296273,1.6538,1.092,1.334030867,-,kegg:Heme_oxygenase_uniprot:F5UL24_9CYAN_Heme_oxygenase_(TrEMBL)_pfam:Heme_oxygenase,Prok_bin48_NODE_132_length_91376_cov_264.575_3,Prok_bin48
199-Prok_bin48--,211.3578568,27.40767187,114.4310565,188.3228331,173.5317044,174.4588702,129.8357793,222.0809865,191.3827485,69.224623,285.2716715,237.78673,250.922215,288.7226066,357.405948,0.619,0.6687,0.814862013,1.4894,0.8505,1.007342339,1.1035,0.7987,0.903582335,1.0818,1.1563,0.739666224,1.1948,0.9367,1.257029772,0.8602,0.6022,0.841644049,-,kegg:Peptidoglycan-binding_domain_1_protein_uniprot:A0A2G4F153_9CYAN_Peptidoglycan-binding_protein_(TrEMBL)_pfam:PG_binding_1,Prok_bin48_NODE_132_length_91376_cov_264.575_31,Prok_bin48
200-Prok_bin48--,211.3578568,27.40767187,114.4310565,188.3228331,173.5317044,174.4588702,129.8357793,222.0809865,191.3827485,69.224623,285.2716715,237.78673,250.922215,288.7226066,357.405948,0.8291,0.6653,1.081330538,1.8406,0.6681,1.134647727,0.9222,0.6261,0.576969206,1.4656,0.6765,0.397761703,1.2308,0.9441,1.360301018,2.1542,1.3332,1.375065804,-,kegg:Phycocyanin_uniprot:A0A2G4F282_9CYAN_Bleomycin_hydrolase_(TrEMBL)_pfam:DUF4350,Prok_bin48_NODE_132_length_91376_cov_264.575_47,Prok_bin48
201-Prok_bin48-photosystem,211.3578568,27.40767187,114.4310565,188.3228331,173.5317044,174.4588702,129.8357793,222.0809865,191.3827485,69.224623,285.2716715,237.78673,250.922215,288.7226066,357.405948,0.6713,0.5791,1.195692778,2.7502,0.4945,1.186139941,0.7513,0.3883,0.358526975,1.4373,0.5932,0.240432173,1.4377,1.0894,1.727539659,2.3036,1.3808,1.257052183,photosystem,kegg:Phycocyanin_uniprot:A0A2G4F250_9CYAN_Bleomycin_hydrolase_(TrEMBL)_pfam:Phycobilisome,Prok_bin48_NODE_132_length_91376_cov_264.575_48,Prok_bin48
202-Prok_bin48--,211.3578568,27.40767187,114.4310565,188.3228331,173.5317044,174.4588702,129.8357793,222.0809865,191.3827485,69.224623,285.2716715,237.78673,250.922215,288.7226066,357.405948,1.3669,1.2708,0,2.2999,0.8282,0,1.2858,2.0017,0,1.689,1.5077,0,1.4572,1.0403,0,2.2571,1.768,0,-,kegg:PBS_lyase_HEAT_domain_protein_repeat-containing_protein_uniprot:A0A2G4F256_9CYAN_HEAT_repeat_domain-containing_protein_(TrEMBL)_pfam:Arm,Prok_bin48_NODE_132_length_91376_cov_264.575_49,Prok_bin48
203-Prok_bin48-photosystem,211.3578568,27.40767187,114.4310565,188.3228331,173.5317044,174.4588702,129.8357793,222.0809865,191.3827485,69.224623,285.2716715,237.78673,250.922215,288.7226066,357.405948,0.8286,0.9464,0.870647252,2.3319,1.039,1.120214462,1.1066,0.6761,0.702578068,1.2328,1.2114,0.752053082,1.4252,0.5635,1.249653697,1.7511,1.0837,1.295673847,photosystem,kegg:Phycocyanin_uniprot:A0A2G4F2A1_9CYAN_Phycobilisome_protein_(TrEMBL)_pfam:Phycobilisome,Prok_bin48_NODE_132_length_91376_cov_264.575_61,Prok_bin48
204-Prok_bin48-photosystem,211.3578568,27.40767187,114.4310565,188.3228331,173.5317044,174.4588702,129.8357793,222.0809865,191.3827485,69.224623,285.2716715,237.78673,250.922215,288.7226066,357.405948,0.7773,0.9924,1.105503321,1.8013,0.9132,1.00812161,0.9302,0.567,0.78652215,1.3206,1.2002,0.695825934,1.0805,0.7761,1.231188178,1.1484,0.7352,0.895577788,photosystem,kegg:Phycobilisome_linker_polypeptide_uniprot:A0A2G4F299_9CYAN_Photosystem_I_reaction_center_subunit_XII_(TrEMBL)_pfam:CpcD,Prok_bin48_NODE_132_length_91376_cov_264.575_63,Prok_bin48
205-Prok_bin48-photosystem,211.3578568,27.40767187,114.4310565,188.3228331,173.5317044,174.4588702,129.8357793,222.0809865,191.3827485,69.224623,285.2716715,237.78673,250.922215,288.7226066,357.405948,0.6268,0.5879,0.740204632,1.8111,0.7371,0.870297015,0.9897,0.7039,0.77807951,0.9692,1.1486,0.679289699,1.2117,0.9112,1.233158827,1.0918,0.8211,0.994398952,photosystem,kegg:Phycobilisome_linker_polypeptide_uniprot:K9VCF5_9CYAN_Phycobilisome_linker_polypeptide_(TrEMBL)_pfam:CpcD,Prok_bin48_NODE_132_length_91376_cov_264.575_64,Prok_bin48
206-Prok_bin48--,211.3578568,27.40767187,114.4310565,188.3228331,173.5317044,174.4588702,129.8357793,222.0809865,191.3827485,69.224623,285.2716715,237.78673,250.922215,288.7226066,357.405948,1.1523,1.1659,1.064615846,1.9411,1.1711,1.256594539,1.1476,0.767,0.866961598,1.8777,1.0807,0.661241531,1.4179,0.962,1.049894452,1.8775,1.1542,1.376381755,-,kegg:hypothetical_protein_uniprot:F5UIK4_9CYAN_Uncharacterized_protein_(TrEMBL)_pfam:APG6,Prok_bin48_NODE_133_length_91196_cov_257.435_14,Prok_bin48
207-Prok_bin48--,211.3578568,27.40767187,114.4310565,188.3228331,173.5317044,174.4588702,129.8357793,222.0809865,191.3827485,69.224623,285.2716715,237.78673,250.922215,288.7226066,357.405948,0.8113,1.2921,1.038879633,1.5659,1.0741,1.116076708,1.0564,0.6148,0.814233482,1.3441,0.8813,0.781535625,1.2255,0.7003,0.964429319,1.5709,0.874,1.46999228,-,kegg:methyl-accepting_chemotaxis_sensory_transducer_uniprot:F5UIK1_9CYAN_Methyl-accepting_chemotaxis_sensory_transducer_(TrEMBL)_pfam:DUF5458,Prok_bin48_NODE_133_length_91196_cov_257.435_19,Prok_bin48
208-Prok_bin48--,211.3578568,27.40767187,114.4310565,188.3228331,173.5317044,174.4588702,129.8357793,222.0809865,191.3827485,69.224623,285.2716715,237.78673,250.922215,288.7226066,357.405948,0.822,1.2435,0.966273427,1.6888,1.0209,1.256703854,0.8904,0.8152,0.677925587,1.4797,0.8993,0.755293667,1.2565,1.0582,1.122963548,1.6106,1.1618,1.514104247,-,kegg:Polyribonucleotide_nucleotidyltransferase_uniprot:K9VI22_9CYAN_Polyribonucleotide_nucleotidyltransferase_(TrEMBL)_pfam:DUF520,Prok_bin48_NODE_133_length_91196_cov_257.435_26,Prok_bin48
209-Prok_bin48--,211.3578568,27.40767187,114.4310565,188.3228331,173.5317044,174.4588702,129.8357793,222.0809865,191.3827485,69.224623,285.2716715,237.78673,250.922215,288.7226066,357.405948,0.8374,1.0529,0.849675,1.589,0.917,1.186505675,0.8107,0.8981,0.594507456,1.6005,0.9049,0.832128346,1.3638,0.9514,1.371335983,2.5982,2.0362,2.74669981,-,kegg:Orange_carotenoid-binding_protein_uniprot:A0A2G4F4I1_9CYAN_Red_carotenoid-binding_protein_(TrEMBL)_pfam:Carot_N,Prok_bin48_NODE_133_length_91196_cov_257.435_36,Prok_bin48
210-Prok_bin48--,211.3578568,27.40767187,114.4310565,188.3228331,173.5317044,174.4588702,129.8357793,222.0809865,191.3827485,69.224623,285.2716715,237.78673,250.922215,288.7226066,357.405948,0.876,1.3695,0.892660439,1.5457,1.1207,1.175094962,1.0946,0.8449,0.718775272,1.5011,1.0975,0.905272365,1.2522,1.1286,1.275812268,1.725,1.1173,1.640627265,-,kegg:NADH_dehydrogenase_subunit_D_uniprot:A0A2G4F4L3_9CYAN_NAD(P)H-quinone_oxidoreductase_subunit_H_(TrEMBL)_pfam:Complex1_49kDa,Prok_bin48_NODE_133_length_91196_cov_257.435_42,Prok_bin48
211-Prok_bin48--,211.3578568,27.40767187,114.4310565,188.3228331,173.5317044,174.4588702,129.8357793,222.0809865,191.3827485,69.224623,285.2716715,237.78673,250.922215,288.7226066,357.405948,1.1637,1.4734,0.967836022,1.8862,1.1455,0.909853399,0.8809,0.6892,0.709443212,1.4268,1.2852,0.7166394,1.0739,0.8696,1.124855757,1.2282,0.9695,1.203615904,-,kegg:Fe-S_oxidoreductase_uniprot:A0A1T4ZKU5_9CYAN_Radical_SAM_domain_protein_(TrEMBL)_pfam:Radical_SAM,Prok_bin48_NODE_133_length_91196_cov_257.435_51,Prok_bin48
212-Prok_bin48--,211.3578568,27.40767187,114.4310565,188.3228331,173.5317044,174.4588702,129.8357793,222.0809865,191.3827485,69.224623,285.2716715,237.78673,250.922215,288.7226066,357.405948,0.9976,1.2981,1.449602485,1.7577,0.9442,1.51874733,0.9897,0.7499,0.974578977,1.5277,0.8235,0.828533709,1.1445,0.8061,1.290945172,2.3526,1.6194,2.156945944,-,kegg:Glutamate_synthase_(ferredoxin)_uniprot:A0A2G4F2H9_9CYAN_Glutamate_synthase_large_subunit_(TrEMBL)_pfam:GATase_2,Prok_bin48_NODE_133_length_91196_cov_257.435_64,Prok_bin48
213-Prok_bin48--,211.3578568,27.40767187,114.4310565,188.3228331,173.5317044,174.4588702,129.8357793,222.0809865,191.3827485,69.224623,285.2716715,237.78673,250.922215,288.7226066,357.405948,0.679,0.9043,0.952087104,1.676,0.7312,1.221127033,0.9989,0.5965,0.589371741,1.4566,0.6352,0.636079609,1.287,0.8818,1.458205223,2.0206,1.4325,2.505735159,-,kegg:microcompartments_protein_uniprot:K9VPJ4_9CYAN_Microcompartments_protein_(TrEMBL)_pfam:BMC,Prok_bin48_NODE_134_length_90724_cov_253.251_14,Prok_bin48
214-Prok_bin48--,211.3578568,27.40767187,114.4310565,188.3228331,173.5317044,174.4588702,129.8357793,222.0809865,191.3827485,69.224623,285.2716715,237.78673,250.922215,288.7226066,357.405948,0.5101,0.7129,0.590185404,1.9155,0.5422,1.073135495,0.8032,0.6063,0.392019093,1.1519,0.5629,0.873088777,1.265,0.9572,1.705019355,2.3366,1.3042,1.727167845,-,kegg:microcompartments_protein_uniprot:A0A2G4EVW2_9CYAN_Carbon_dioxide-concentrating_mechanism_protein_CcmK_(TrEMBL)_pfam:BMC,Prok_bin48_NODE_134_length_90724_cov_253.251_15,Prok_bin48
215-Prok_bin48--,211.3578568,27.40767187,114.4310565,188.3228331,173.5317044,174.4588702,129.8357793,222.0809865,191.3827485,69.224623,285.2716715,237.78673,250.922215,288.7226066,357.405948,0.7635,0.7638,0.972448885,1.9319,0.8905,1.206045628,0.8268,0.622,0.748309195,1.1433,0.9762,0.543056071,1.3267,0.8853,1.604154229,1.1924,0.6891,1.029090405,-,kegg:Carbonate_dehydratase_uniprot:K9VQC5_9CYAN_Carbonate_dehydratase_(TrEMBL)_pfam:DUF1887,Prok_bin48_NODE_134_length_90724_cov_253.251_17,Prok_bin48
